esID,paperID,year,authors,journal,title,species,order,parental_sex,parental_lifestage,mean_LP,mean_LP_transformed,sd_LP,sd_LP_transform,n_LP,mean_HP,mean_HP_transformed,sd_HP,sd_HP_transformed,n_HP
1,1,2014,Auld & Henkel,Ecology and Evolution,"Diet alters delayed selfing, inbreeding depression, and reproductive senescence in a freshwater snail",Physa_acuta,Basommatophora,female,adult,79.2,1.097221969,38.4,0.473049917,144,51.5,0.800400414,49.2,0.49222155,144
2,2,2006,"Berkebile, Sagel, Skoda & Foster",Neotropical Entomology,Laboratory Environment Effects on the Reproduction and Mortality of Adult Screwworm (Diptera: Calliphoridae),Cochliomyia_hominivorax,Diptera,mixed sex,adult,70.11,0.992357415,23.08462692,0.25213894,40,67,0.958856612,20.04884037,0.213189048,40
3,2,2006,"Berkebile, Sagel, Skoda & Foster",Neotropical Entomology,Laboratory Environment Effects on the Reproduction and Mortality of Adult Screwworm (Diptera: Calliphoridae),Cochliomyia_hominivorax,Diptera,mixed sex,adult,15.33,0.402299661,27.63830675,0.383570837,40,23.33,0.504090635,43.89241392,0.518906809,40
4,3,2016,"Bonduriansky, RunagallMcNaull & Crean",Functional Ecology,The nutritional geometry of parental effects: maternal and paternal macronutrient consumption and offspring phenotype in a neriid fly,Telostylinus_angusticollis,Diptera,female,development,66,0.948262907,30.89,0.326044206,15,78.75,1.091700237,18.48,0.22587451,12
5,3,2016,"Bonduriansky, RunagallMcNaull & Crean",Functional Ecology,The nutritional geometry of parental effects: maternal and paternal macronutrient consumption and offspring phenotype in a neriid fly,Telostylinus_angusticollis,Diptera,male,development,73.1,1.02552265,28.35,0.319659959,21,62.33,0.90998333,32.12,0.33143561,15
6,4,2012,Cahenzli & Erhardt,Oecologia,Enhancing offspring quality or quantity? Different ways for using nectar amino acids in female butterflies,Coenonympha_pamphilus,Lepidoptera,female,development,85,1.173096912,13.26649916,0.185768146,11,88,1.217054721,10.81665383,0.166429756,13
7,4,2012,Cahenzli & Erhardt,Oecologia,Enhancing offspring quality or quantity? Different ways for using nectar amino acids in female butterflies,Coenonympha_pamphilus,Lepidoptera,female,adult,82,1.132647296,20,0.260289603,16,88,1.217054721,10.81665383,0.166429756,13
8,5,2003,Dam & Lopes,Journal of Experimental Marine Biology and Ecology,"Omnivory in the calanoid copepod Temora longicornis: feeding, egg production and egg hatching rates",Temora_longicornis,Calanoida,mixed sex,adult,27.8,0.555369207,14.69693846,0.164023428,6,23.2,0.502552248,10.28785692,0.121862566,6
9,5,2003,Dam & Lopes,Journal of Experimental Marine Biology and Ecology,"Omnivory in the calanoid copepod Temora longicornis: feeding, egg production and egg hatching rates",Temora_longicornis,Calanoida,mixed sex,adult,16,0.411516846,17.39137717,0.237194352,6,31.9,0.600191906,30.12872384,0.323207808,6
10,6,2016,"El Wahab, Huda, Elbehery & Farag",Egyptian Journal of Biological Pest Control,Evaluation of some honey bee products as artificial diets for rearing the parasitoid,Bracon_hebetor,Hymenoptera,mixed sex,adult,91.25,1.270499263,13.59779394,0.240612395,10,96.65,1.386728637,4.74341649,0.131806835,10
