ES_ID,Study_ID,First_author,Year_published,Common_species,Strain,Sex,Age_stress_exposure,Type_stress_exposure,Stress_duration,Learning_vs_memory,Type_assay,Type_reinforcement,lnRR,lnRRV,Mean_stress,SD_stress,N_stress,Mean_control,SD_control,N_control
1,1,Aghighi Bidgoli,2020,Rat,Wistar,Male,Prenatal,Noise,Intermittent,Learning,Conditioning,Aversive,-0.245601215,0.011570003,,,,,,
2,1,Aghighi Bidgoli,2020,Rat,Wistar,Male,Prenatal,Noise,Intermittent,Learning,Conditioning,Aversive,-0.255430029,0.020823268,,,,,,
3,1,Aghighi Bidgoli,2020,Rat,Wistar,Male,Prenatal,Noise,Intermittent,Memory,Conditioning,Aversive,-0.196884921,0.00310005,,,,,,
4,2,Berardo,2016,Rat,Wistar,Male,Early postnatal,MS,Chronic,Learning,Conditioning,Aversive,0.013568729,0.024763987,,,,,,
5,3,Blanco,2017,Mouse,Swiss,Male,Early postnatal,Shock,Acute,Memory,Recognition,Not applicable,0.075562429,0.001169511,,,,,,
6,4,Castelhano-Carlos,2014,Rat,Wistar,Male,Adult,Combination,Chronic,Memory,Recognition,Not applicable,-0.004670944,0.001220481,,,,,,
7,5,Chen,2010,Mouse,ICR,Male,Adolescent,Restraint,Chronic,Memory,Recognition,Not applicable,0.028575168,0.000506155,,,,,,
8,5,Chen,2010,Mouse,ICR,Male,Adolescent,Restraint,Chronic,Memory,Recognition,Not applicable,0.021005666,0.001213755,,,,,,
9,6,Cui,2006,Rat,Unknown,Male,Early postnatal,Other,Chronic,Learning,Conditioning,Aversive,-0.152368437,0.025379527,,,,,,
10,6,Cui,2006,Rat,Unknown,Male,Early postnatal,Other,Chronic,Memory,Conditioning,Aversive,-0.659507224,0.098874739,,,,,,
11,7,Menezes,2020,Rat,Wistar,Male,Early postnatal,MS,Chronic,Memory,Recognition,Not applicable,-0.250612889,0.011063092,,,,,,
12,7,Menezes,2020,Rat,Wistar,Male,Early postnatal,MS,Chronic,Memory,Recognition,Not applicable,0.189498662,0.036672414,,,,,,
13,7,Menezes,2020,Rat,Wistar,Male,Early postnatal,MS,Chronic,Memory,Conditioning,Not applicable,-0.086830048,0.007615957,,,,,,
14,7,Menezes,2020,Rat,Wistar,Male,Early postnatal,MS,Chronic,Memory,Conditioning,Not applicable,0.032648206,0.022497989,,,,,,
15,7,Menezes,2020,Rat,Wistar,Male,Early postnatal,MS,Chronic,Memory,Conditioning,Aversive,0.373250669,0.122664547,,,,,,
16,7,Menezes,2020,Rat,Wistar,Male,Early postnatal,MS,Chronic,Memory,Conditioning,Aversive,-0.797855877,0.161709805,,,,,,
17,7,Menezes,2020,Rat,Wistar,Male,Early postnatal,MS,Chronic,Learning,Conditioning,Aversive,-0.474228858,0.015453994,,,,,,
18,7,Menezes,2020,Rat,Wistar,Male,Early postnatal,MS,Chronic,Learning,Conditioning,Aversive,-0.413795161,0.065110909,,,,,,
19,7,Menezes,2020,Rat,Wistar,Male,Early postnatal,MS,Chronic,Learning,Conditioning,Aversive,-0.032128945,0.005173042,,,,,,
20,8,Mitra,2009,Rat,Wistar,Male,Adult,Restraint,Chronic,Learning,Conditioning,Aversive,-0.123562734,0.012921214,,,,,,
21,8,Mitra,2009,Rat,Wistar,Male,Adult,Restraint,Chronic,Learning,Conditioning,Aversive,0.16057345,0.014089451,,,,,,
22,8,Mitra,2009,Rat,Wistar,Male,Adult,Restraint,Chronic,Memory,Conditioning,Aversive,-0.43020613,0.017769154,,,,,,
23,9,Mohammadian,2018,Rat,Wistar,Male,Early postnatal,MS,Chronic,Learning,Conditioning,Aversive,0.159217188,0.050821976,,,,,,
24,9,Mohammadian,2018,Rat,Wistar,Female,Early postnatal,MS,Chronic,Learning,Conditioning,Aversive,-0.385751208,0.059747414,,,,,,
25,9,Mohammadian,2018,Rat,Wistar,Male,Early postnatal,MS,Chronic,Memory,Conditioning,Aversive,-0.10588622,0.00152886,,,,,,
26,9,Mohammadian,2018,Rat,Wistar,Female,Early postnatal,MS,Chronic,Memory,Conditioning,Aversive,-0.109292611,0.00143193,,,,,,
27,10,Molina,2016,Rat,Wistar,Male,Early postnatal,Noise,Acute,Learning,Habituation,Not applicable,-0.388273687,0.023787403,,,,,,
28,10,Molina,2016,Rat,Wistar,Male,Early postnatal,Noise,Acute,Learning,Habituation,Not applicable,-0.620844645,0.078141647,,,,,,
29,10,Molina,2016,Rat,Wistar,Male,Early postnatal,Noise,Acute,Memory,Conditioning,Appetitive,0.407200456,0.60945855,,,,,,
30,10,Molina,2016,Rat,Wistar,Male,Early postnatal,Noise,Acute,Memory,Conditioning,Appetitive,0.04095066,0.012819023,,,,,,
31,11,Nawaz,2018,Rat,Wistar,Male,Adult,Restraint,Chronic,Memory,Conditioning,Aversive,-0.527122368,0.002046301,,,,,,
